protocol,direction,method,n_recordings,n_class_0,n_class_1,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,log_loss,brier_score,auroc,pr_auc,average_precision,subject
loso,arithmetic,cbsf_double_exclusion_gain,4,2,2,0.5,0.5,0,1,,0,0.99221513114460513,0.34980099042709023,0.75,0.79166666666666663,0.83333333333333326,13
loso,arithmetic,dasf_double_exclusion_gain,4,2,2,0.5,0.5,0,1,,0,1.3180116421279304,0.39552799225094526,0.75,0.79166666666666663,0.83333333333333326,13
loso,arithmetic,cbsf_double_exclusion_gain,4,2,2,1,1,1,1,1,1,0.20669019052990878,0.045098008485020422,1,1,1,14
loso,arithmetic,dasf_double_exclusion_gain,4,2,2,1,1,1,1,1,1,0.18899388260664668,0.043505637678109887,1,1,1,14
loso,arithmetic,cbsf_double_exclusion_gain,4,2,2,1,1,1,1,1,1,0.38895467953248886,0.11984172536006676,1,1,1,15
loso,arithmetic,dasf_double_exclusion_gain,4,2,2,1,1,1,1,1,1,0.37329822885076419,0.11634857684182413,1,1,1,15
loso,stroop,cbsf_double_exclusion_gain,4,2,2,0,0,0,0,0,0,0.79351712113051964,0.29964268238424585,0,0.29166666666666663,0.41666666666666663,1
loso,stroop,dasf_double_exclusion_gain,4,2,2,0.5,0.5,0,1,,0,0.87206286262321686,0.33086044870965858,0,0.29166666666666663,0.41666666666666663,1
loso,stroop,cbsf_double_exclusion_gain,4,2,2,0.5,0.5,0,1,,0,1.8658332804424123,0.47319795515256358,0.5,0.70833333333333326,0.75,2
loso,stroop,dasf_double_exclusion_gain,4,2,2,0.5,0.5,0,1,,0,4.307372990978461,0.49959378131138521,0.5,0.70833333333333326,0.75,2
loso,stroop,cbsf_double_exclusion_gain,4,2,2,1,1,1,1,1,1,0.38076492491429881,0.10366065053904275,1,1,1,3
loso,stroop,dasf_double_exclusion_gain,4,2,2,1,1,1,1,1,1,0.094114285540861362,0.014693324901202613,1,1,1,3
loso,stroop,cbsf_double_exclusion_gain,4,2,2,0.5,0.5,1,0,0.5,0.66666666666666663,0.59191442470572664,0.20088048736435077,1,1,1,4
loso,stroop,dasf_double_exclusion_gain,4,2,2,1,1,1,1,1,1,0.23858248703643017,0.05234557700952347,1,1,1,4
loso,stroop,cbsf_double_exclusion_gain,4,2,2,0.75,0.75,1,0.5,0.66666666666666663,0.80000000000000004,0.4979688710053522,0.17496193987860029,0.75,0.79166666666666663,0.83333333333333326,5
loso,stroop,dasf_double_exclusion_gain,4,2,2,0.75,0.75,1,0.5,0.66666666666666663,0.80000000000000004,0.49405956601840079,0.17492300867813304,0.75,0.79166666666666663,0.83333333333333326,5
loso,stroop,cbsf_double_exclusion_gain,4,2,2,0.25,0.25,0.5,0,0.33333333333333331,0.40000000000000002,1.4099525487172779,0.49979326402669566,0.25,0.33333333333333331,0.5,6
loso,stroop,dasf_double_exclusion_gain,4,2,2,0.25,0.25,0.5,0,0.33333333333333331,0.40000000000000002,2.1585969517153494,0.53819358647143922,0.25,0.33333333333333331,0.5,6
loso,stroop,cbsf_double_exclusion_gain,4,2,2,0.5,0.5,0,1,,0,0.70517517629105164,0.25740721884835482,1,1,1,7
loso,stroop,dasf_double_exclusion_gain,4,2,2,0.5,0.5,0,1,,0,3.5408684095210532,0.49888695965857976,0.25,0.33333333333333331,0.5,7
loso,stroop,cbsf_double_exclusion_gain,4,2,2,0.5,0.5,0,1,,0,0.77095555086390222,0.28968118941787097,1,1,1,8
loso,stroop,dasf_double_exclusion_gain,4,2,2,0.5,0.5,0,1,,0,1.3113096444333756,0.42845909799589565,1,1,1,8
loso,stroop,cbsf_double_exclusion_gain,4,2,2,0.75,0.75,1,0.5,0.66666666666666663,0.80000000000000004,0.52403094969048447,0.16925380590683467,1,1,1,9
loso,stroop,dasf_double_exclusion_gain,4,2,2,0.75,0.75,1,0.5,0.66666666666666663,0.80000000000000004,0.4599760046453496,0.16603882878884155,1,1,1,9
loso,stroop,cbsf_double_exclusion_gain,4,2,2,0.75,0.75,0.5,1,1,0.66666666666666663,0.45291463190636116,0.16521662280675892,1,1,1,10
loso,stroop,dasf_double_exclusion_gain,4,2,2,0.75,0.75,0.5,1,1,0.66666666666666663,0.47144906489671623,0.1743995048039407,1,1,1,10
loso,stroop,cbsf_double_exclusion_gain,4,2,2,0.75,0.75,1,0.5,0.66666666666666663,0.80000000000000004,0.61992135489683553,0.21604276679959566,1,1,1,11
loso,stroop,dasf_double_exclusion_gain,4,2,2,0.75,0.75,1,0.5,0.66666666666666663,0.80000000000000004,0.69217618338278597,0.22787422906057392,1,1,1,11
loso,stroop,cbsf_double_exclusion_gain,4,2,2,0.75,0.75,1,0.5,0.66666666666666663,0.80000000000000004,0.64333538769973231,0.22569446425594333,0.75,0.79166666666666663,0.83333333333333326,12
loso,stroop,dasf_double_exclusion_gain,4,2,2,0.75,0.75,1,0.5,0.66666666666666663,0.80000000000000004,0.69171625205739951,0.2401958757551228,0.75,0.79166666666666663,0.83333333333333326,12
loso,stroop,cbsf_double_exclusion_gain,4,2,2,0.5,0.5,0,1,,0,1.8456456586473975,0.47824337867858313,0.5,0.41666666666666663,0.58333333333333326,13
loso,stroop,dasf_double_exclusion_gain,4,2,2,0.5,0.5,0,1,,0,4.5216922734478739,0.49989086321260989,0.5,0.41666666666666663,0.58333333333333326,13
