bin_index,bin_lower,bin_upper,right_edge_included,n_recordings,mean_predicted_probability,observed_positive_rate,absolute_calibration_gap,dataset,protocol,direction,analysis_cell_display,method,method_display
1,0,0.20000000000000001,False,27,0.050262278773541891,0.37037037037037035,0.32010809159682846,openbci,loso,arithmetic,Arithmetic LOSO,always_nn,Feature-MLP (neural reference)
2,0.20000000000000001,0.40000000000000002,False,7,0.27706651140034344,0.7142857142857143,0.43721920288537086,openbci,loso,arithmetic,Arithmetic LOSO,always_nn,Feature-MLP (neural reference)
3,0.40000000000000002,0.60000000000000009,False,7,0.49906899101033458,0.42857142857142855,0.070497562438906036,openbci,loso,arithmetic,Arithmetic LOSO,always_nn,Feature-MLP (neural reference)
4,0.60000000000000009,0.80000000000000004,False,9,0.73865572204363772,0.66666666666666663,0.071989055376971089,openbci,loso,arithmetic,Arithmetic LOSO,always_nn,Feature-MLP (neural reference)
5,0.80000000000000004,1,True,10,0.8982396404801809,0.59999999999999998,0.29823964048018092,openbci,loso,arithmetic,Arithmetic LOSO,always_nn,Feature-MLP (neural reference)
1,0,0.20000000000000001,False,11,0.11938886846540654,0.18181818181818182,0.062429313352775281,openbci,loso,arithmetic,Arithmetic LOSO,cbsf,CB-SF
2,0.20000000000000001,0.40000000000000002,False,13,0.30752958464477848,0.46153846153846156,0.15400887689368309,openbci,loso,arithmetic,Arithmetic LOSO,cbsf,CB-SF
3,0.40000000000000002,0.60000000000000009,False,18,0.49134063577517689,0.61111111111111116,0.11977047533593427,openbci,loso,arithmetic,Arithmetic LOSO,cbsf,CB-SF
4,0.60000000000000009,0.80000000000000004,False,14,0.70228935778909118,0.6428571428571429,0.05943221493194828,openbci,loso,arithmetic,Arithmetic LOSO,cbsf,CB-SF
5,0.80000000000000004,1,True,4,0.90453665864663391,0.5,0.40453665864663391,openbci,loso,arithmetic,Arithmetic LOSO,cbsf,CB-SF
1,0,0.20000000000000001,False,27,0.050262278773541891,0.37037037037037035,0.32010809159682846,openbci,loso,arithmetic,Arithmetic LOSO,dasf_clean,DASF
2,0.20000000000000001,0.40000000000000002,False,7,0.27706651140034344,0.7142857142857143,0.43721920288537086,openbci,loso,arithmetic,Arithmetic LOSO,dasf_clean,DASF
3,0.40000000000000002,0.60000000000000009,False,7,0.49906899101033458,0.42857142857142855,0.070497562438906036,openbci,loso,arithmetic,Arithmetic LOSO,dasf_clean,DASF
4,0.60000000000000009,0.80000000000000004,False,9,0.73865572204363772,0.66666666666666663,0.071989055376971089,openbci,loso,arithmetic,Arithmetic LOSO,dasf_clean,DASF
5,0.80000000000000004,1,True,10,0.8982396404801809,0.59999999999999998,0.29823964048018092,openbci,loso,arithmetic,Arithmetic LOSO,dasf_clean,DASF
1,0,0.20000000000000001,False,5,0.097946260629948323,0,0.097946260629948323,openbci,loso,arithmetic,Arithmetic LOSO,eeg_conformer,EEG-Conformer
2,0.20000000000000001,0.40000000000000002,False,5,0.33690994583006628,0.40000000000000002,0.06309005416993374,openbci,loso,arithmetic,Arithmetic LOSO,eeg_conformer,EEG-Conformer
3,0.40000000000000002,0.60000000000000009,False,19,0.50981880530993273,0.42105263157894735,0.088766173730985387,openbci,loso,arithmetic,Arithmetic LOSO,eeg_conformer,EEG-Conformer
4,0.60000000000000009,0.80000000000000004,False,31,0.7002077172426211,0.64516129032258063,0.05504642692004047,openbci,loso,arithmetic,Arithmetic LOSO,eeg_conformer,EEG-Conformer
5,0.80000000000000004,1,True,0,,,,openbci,loso,arithmetic,Arithmetic LOSO,eeg_conformer,EEG-Conformer
1,0,0.20000000000000001,False,1,3.5849240649205381e-08,0,3.5849240649205381e-08,openbci,loso,arithmetic,Arithmetic LOSO,eegnet,EEGNet
2,0.20000000000000001,0.40000000000000002,False,2,0.27256635475115598,0,0.27256635475115598,openbci,loso,arithmetic,Arithmetic LOSO,eegnet,EEGNet
3,0.40000000000000002,0.60000000000000009,False,2,0.49363200740308438,0,0.49363200740308438,openbci,loso,arithmetic,Arithmetic LOSO,eegnet,EEGNet
4,0.60000000000000009,0.80000000000000004,False,43,0.7185068637357479,0.51162790697674421,0.2068789567590037,openbci,loso,arithmetic,Arithmetic LOSO,eegnet,EEGNet
5,0.80000000000000004,1,True,12,0.8167763519161878,0.66666666666666663,0.15010968524952117,openbci,loso,arithmetic,Arithmetic LOSO,eegnet,EEGNet
1,0,0.20000000000000001,False,5,0.1538236668274866,0.20000000000000001,0.046176333172513406,openbci,loso,arithmetic,Arithmetic LOSO,equal_blend_050,Equal blend (50%)
2,0.20000000000000001,0.40000000000000002,False,23,0.28632949357210707,0.43478260869565216,0.14845311512354509,openbci,loso,arithmetic,Arithmetic LOSO,equal_blend_050,Equal blend (50%)
3,0.40000000000000002,0.60000000000000009,False,14,0.49330958329955793,0.5714285714285714,0.078118988129013467,openbci,loso,arithmetic,Arithmetic LOSO,equal_blend_050,Equal blend (50%)
4,0.60000000000000009,0.80000000000000004,False,17,0.69196458962643137,0.6470588235294118,0.044905766097019573,openbci,loso,arithmetic,Arithmetic LOSO,equal_blend_050,Equal blend (50%)
5,0.80000000000000004,1,True,1,0.81345818583813934,0,0.81345818583813934,openbci,loso,arithmetic,Arithmetic LOSO,equal_blend_050,Equal blend (50%)
1,0,0.20000000000000001,False,7,0.10360995598499283,0.2857142857142857,0.18210432972929286,openbci,loso,arithmetic,Arithmetic LOSO,extra_trees,Extra Trees
2,0.20000000000000001,0.40000000000000002,False,12,0.29968520550458566,0.16666666666666666,0.133018538837919,openbci,loso,arithmetic,Arithmetic LOSO,extra_trees,Extra Trees
3,0.40000000000000002,0.60000000000000009,False,28,0.50580152026412928,0.6785714285714286,0.17276990830729932,openbci,loso,arithmetic,Arithmetic LOSO,extra_trees,Extra Trees
4,0.60000000000000009,0.80000000000000004,False,12,0.65670317792009592,0.5,0.15670317792009592,openbci,loso,arithmetic,Arithmetic LOSO,extra_trees,Extra Trees
5,0.80000000000000004,1,True,1,0.80865772240356915,1,0.19134227759643085,openbci,loso,arithmetic,Arithmetic LOSO,extra_trees,Extra Trees
1,0,0.20000000000000001,False,23,0.099369681643881949,0.34782608695652173,0.24845640531263979,openbci,loso,arithmetic,Arithmetic LOSO,fixed_blend_010,Fixed blend (10%)
2,0.20000000000000001,0.40000000000000002,False,9,0.27323783137328878,0.55555555555555558,0.2823177241822668,openbci,loso,arithmetic,Arithmetic LOSO,fixed_blend_010,Fixed blend (10%)
3,0.40000000000000002,0.60000000000000009,False,9,0.48723269164985983,0.55555555555555558,0.068322863905695752,openbci,loso,arithmetic,Arithmetic LOSO,fixed_blend_010,Fixed blend (10%)
4,0.60000000000000009,0.80000000000000004,False,11,0.73007174821352772,0.72727272727272729,0.002799020940800423,openbci,loso,arithmetic,Arithmetic LOSO,fixed_blend_010,Fixed blend (10%)
5,0.80000000000000004,1,True,8,0.86823564914962836,0.5,0.36823564914962836,openbci,loso,arithmetic,Arithmetic LOSO,fixed_blend_010,Fixed blend (10%)
1,0,0.20000000000000001,False,19,0.14261691295631493,0.26315789473684209,0.12054098178052716,openbci,loso,arithmetic,Arithmetic LOSO,fixed_blend_025,Fixed blend (25%)
2,0.20000000000000001,0.40000000000000002,False,13,0.29813252351774344,0.61538461538461542,0.31725209186687198,openbci,loso,arithmetic,Arithmetic LOSO,fixed_blend_025,Fixed blend (25%)
3,0.40000000000000002,0.60000000000000009,False,9,0.49924470910129515,0.55555555555555558,0.056310846454260433,openbci,loso,arithmetic,Arithmetic LOSO,fixed_blend_025,Fixed blend (25%)
4,0.60000000000000009,0.80000000000000004,False,14,0.71680571232852863,0.6428571428571429,0.073948569471385728,openbci,loso,arithmetic,Arithmetic LOSO,fixed_blend_025,Fixed blend (25%)
5,0.80000000000000004,1,True,5,0.83597459911861538,0.59999999999999998,0.2359745991186154,openbci,loso,arithmetic,Arithmetic LOSO,fixed_blend_025,Fixed blend (25%)
1,0,0.20000000000000001,False,12,0.097439498483942122,0.25,0.15256050151605788,openbci,loso,arithmetic,Arithmetic LOSO,rf,Random forest
2,0.20000000000000001,0.40000000000000002,False,9,0.33643181204703154,0.44444444444444442,0.10801263239741288,openbci,loso,arithmetic,Arithmetic LOSO,rf,Random forest
3,0.40000000000000002,0.60000000000000009,False,32,0.4999506024822753,0.59375,0.093799397517724703,openbci,loso,arithmetic,Arithmetic LOSO,rf,Random forest
4,0.60000000000000009,0.80000000000000004,False,6,0.70104165882350034,0.5,0.20104165882350034,openbci,loso,arithmetic,Arithmetic LOSO,rf,Random forest
5,0.80000000000000004,1,True,1,0.85156616943136465,1,0.14843383056863535,openbci,loso,arithmetic,Arithmetic LOSO,rf,Random forest
1,0,0.20000000000000001,False,8,0.12047560099259183,0.25,0.12952439900740817,openbci,loso,arithmetic,Arithmetic LOSO,riemann_mdm,Riemannian MDM
2,0.20000000000000001,0.40000000000000002,False,18,0.30020985948768358,0.44444444444444442,0.14423458495676084,openbci,loso,arithmetic,Arithmetic LOSO,riemann_mdm,Riemannian MDM
3,0.40000000000000002,0.60000000000000009,False,17,0.49868982845025073,0.6470588235294118,0.14836899507916107,openbci,loso,arithmetic,Arithmetic LOSO,riemann_mdm,Riemannian MDM
4,0.60000000000000009,0.80000000000000004,False,7,0.70533303006457371,0.42857142857142855,0.27676160149314516,openbci,loso,arithmetic,Arithmetic LOSO,riemann_mdm,Riemannian MDM
5,0.80000000000000004,1,True,10,0.88762669281368822,0.59999999999999998,0.28762669281368825,openbci,loso,arithmetic,Arithmetic LOSO,riemann_mdm,Riemannian MDM
1,0,0.20000000000000001,False,16,0.081790974738153194,0.5,0.41820902526184678,openbci,loso,arithmetic,Arithmetic LOSO,riemann_ts_logreg,Riemannian TS-LR
2,0.20000000000000001,0.40000000000000002,False,10,0.32009862838962344,0.40000000000000002,0.079901371610376581,openbci,loso,arithmetic,Arithmetic LOSO,riemann_ts_logreg,Riemannian TS-LR
