setting,setting_display,method,method_display,seed,n_participants,n_recordings,participant_macro_accuracy,participant_macro_balanced_accuracy,pooled_recording_accuracy,pooled_recording_balanced_accuracy,diagnostic_only_not_statistical_replicate
loso_arithmetic,Arithmetic LOSO,always_nn,Always neural,1335,15,60,0.56666666666666665,0.56666666666666665,0.56666666666666665,0.56666666666666665,True
loso_arithmetic,Arithmetic LOSO,always_nn,Always neural,1388,15,60,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.66666666666666663,True
loso_arithmetic,Arithmetic LOSO,always_nn,Always neural,1441,15,60,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,True
loso_arithmetic,Arithmetic LOSO,always_nn,Always neural,1494,15,60,0.58333333333333337,0.58333333333333337,0.58333333333333337,0.58333333333333326,True
loso_arithmetic,Arithmetic LOSO,always_nn,Always neural,1547,15,60,0.58333333333333337,0.58333333333333337,0.58333333333333337,0.58333333333333326,True
loso_arithmetic,Arithmetic LOSO,eeg_conformer,EEG-Conformer,1335,15,60,0.68333333333333335,0.68333333333333335,0.68333333333333335,0.68333333333333335,True
loso_arithmetic,Arithmetic LOSO,eeg_conformer,EEG-Conformer,1388,15,60,0.65000000000000002,0.65000000000000002,0.65000000000000002,0.64999999999999991,True
loso_arithmetic,Arithmetic LOSO,eeg_conformer,EEG-Conformer,1441,15,60,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.66666666666666663,True
loso_arithmetic,Arithmetic LOSO,eeg_conformer,EEG-Conformer,1494,15,60,0.58333333333333337,0.58333333333333337,0.58333333333333337,0.58333333333333326,True
loso_arithmetic,Arithmetic LOSO,eeg_conformer,EEG-Conformer,1547,15,60,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,True
loso_arithmetic,Arithmetic LOSO,eegnet,EEGNet,1335,15,60,0.56666666666666665,0.56666666666666665,0.56666666666666665,0.56666666666666665,True
loso_arithmetic,Arithmetic LOSO,eegnet,EEGNet,1388,15,60,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.6166666666666667,True
loso_arithmetic,Arithmetic LOSO,eegnet,EEGNet,1441,15,60,0.65000000000000002,0.65000000000000002,0.65000000000000002,0.64999999999999991,True
loso_arithmetic,Arithmetic LOSO,eegnet,EEGNet,1494,15,60,0.56666666666666665,0.56666666666666665,0.56666666666666665,0.56666666666666665,True
