dataset,protocol,direction,analysis_cell_display,method,method_display,metric,n_participants_total,n_participants_valid,mean,standard_deviation,median,q1,q3,minimum,maximum
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest,f1,13,13,0.7153846153846154,0.25335357543961012,0.80000000000000004,0.66666666666666663,0.80000000000000004,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest,auroc,13,13,0.5,0.40824829046386302,0.5,0,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest,pr_auc,13,13,0.74038461538461542,0.24185448051171132,0.79166666666666663,0.41666666666666663,1,0.41666666666666663,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest,average_precision,13,13,0.80769230769230771,0.17140694816821717,0.83333333333333326,0.58333333333333326,1,0.58333333333333326,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest,log_loss,13,13,0.87474719277187496,0.66930907078622492,0.65258511852819279,0.61000927161586083,0.83857386879554008,0.31349828974999633,2.9116502495455734
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest,brier_score,13,13,0.24959507974439654,0.10543526657843837,0.23049179382920373,0.21001910529894388,0.27757358477602739,0.078103096382197715,0.46779855080359173
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM,accuracy,13,13,0.64102564102564108,0.16451603893094152,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.33333333333333331,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM,balanced_accuracy,13,13,0.5,0.17677669529663689,0.5,0.5,0.5,0.25,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM,sensitivity,13,13,0.92307692307692313,0.18776690404970267,1,1,1,0.5,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM,specificity,13,13,0.076923076923076927,0.27735009811261457,0,0,0,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM,precision,13,13,0.66666666666666663,0.11785113019775792,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.5,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM,f1,13,13,0.76923076923076938,0.1315587028960544,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.5,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM,auroc,13,13,0.61538461538461542,0.41602514716892192,0.5,0.5,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM,pr_auc,13,13,0.8012820512820511,0.23823828120702736,0.79166666666666663,0.79166666666666663,1,0.41666666666666663,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM,average_precision,13,13,0.85256410256410264,0.17062604684879704,0.83333333333333326,0.83333333333333326,1,0.58333333333333326,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM,log_loss,13,13,1.1660792607457993,1.1217522957574988,0.74514776588890363,0.6341225020272957,1.192753382420874,0.52081118678196792,4.7199913281072741
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM,brier_score,13,13,0.27258343156068232,0.069467666904155526,0.27048047474263565,0.22339354425529825,0.3145070556918354,0.17742803940615359,0.42651171170872076
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_ts_logreg,Riemannian TS-LR,accuracy,13,13,0.58974358974358987,0.19971489650509267,0.66666666666666663,0.66666666666666663,0.66666666666666663,0,0.66666666666666663
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_ts_logreg,Riemannian TS-LR,balanced_accuracy,13,13,0.46153846153846156,0.17218430793029865,0.5,0.5,0.5,0,0.75
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_ts_logreg,Riemannian TS-LR,sensitivity,13,13,0.84615384615384615,0.31521258597805757,1,1,1,0,1
